country;year;purchases_1_or_2_times;purchases_3_to_5_times;purchases_6_to_10_times;purchases_more_than_10_times
Albania;2020;4;2;0;0
Albania;2021;6;2;1;0
Austria;2015;16;19;7;4
Austria;2016;14;21;8;4
Austria;2017;17;21;9;6
Austria;2018;14;23;9;6
Austria;2019;13;22;12;8
Austria;2020;14;21;11;9
Austria;2021;17;21;9;8
Belgium;2015;21;14;3;2
Belgium;2016;21;17;4;3
Belgium;2017;21;16;5;4
Belgium;2018;23;16;5;4
Belgium;2019;24;19;6;5
Belgium;2020;26;22;10;7
Belgium;2021;26;22;9;10
Bosnia and Herzegovina;2020;9;6;2;1
Bosnia and Herzegovina;2021;11;7;2;1
Bulgaria;2015;7;3;1;0
Bulgaria;2016;7;2;1;0
Bulgaria;2017;7;3;1;0
Bulgaria;2018;8;4;1;0
Bulgaria;2019;9;4;0;0
Bulgaria;2020;9;5;1;0
Bulgaria;2021;11;7;1;0
Croatia;2015;13;8;1;5
Croatia;2016;12;7;4;2
Croatia;2017;8;7;3;1
Croatia;2018;10;11;5;2
Croatia;2019;12;14;6;2
Croatia;2020;11;15;10;5
Croatia;2021;10;16;11;6
Cyprus;2015;9;7;2;1
Cyprus;2016;11;8;3;1
Cyprus;2017;13;9;2;1
Cyprus;2018;9;7;2;1
Cyprus;2019;11;14;4;2
Cyprus;2020;7;12;9;4
Cyprus;2021;8;15;10;11
Czechia;2015;16;8;2;0
Czechia;2016;15;10;3;1
Czechia;2017;16;12;4;2
Czechia;2018;17;14;5;2
Czechia;2019;16;19;5;2
Czechia;2020;17;23;12;6
Czechia;2021;12;27;17;7
Denmark;2015;23;23;10;7
Denmark;2016;24;26;10;7
Denmark;2017;17;25;14;10
Denmark;2018;15;26;17;14
Denmark;2019;22;25;12;10
Denmark;2020;21;26;14;12
Denmark;2021;19;25;15;17
Estonia;2015;18;17;7;4
Estonia;2016;16;17;6;5
Estonia;2017;19;16;6;5
Estonia;2018;18;18;7;7
Estonia;2019;20;21;8;8
Estonia;2020;17;20;10;10
Estonia;2021;15;22;11;13
Finland;2015;15;19;10;4
Finland;2016;15;19;9;4
Finland;2017;19;20;12;5
Finland;2018;16;20;9;5
Finland;2019;17;23;9;6
Finland;2020;19;24;10;6
Finland;2021;18;25;12;7
France;2015;24;17;7;1
France;2016;22;20;6;4
France;2017;23;19;6;5
France;2018;22;20;8;5
France;2019;23;21;7;6
France;2020;;;;
France;2021;22;23;10;11
Germany;2015;22;23;11;8
Germany;2016;21;24;11;9
Germany;2017;19;25;12;10
Germany;2018;21;26;12;9
Germany;2019;19;27;13;11
Germany;2020;18;27;15;15
Germany;2021;20;20;10;12
Greece;2015;14;7;2;2
Greece;2016;12;8;2;1
Greece;2017;13;9;3;2
Greece;2018;14;9;5;3
Greece;2019;12;12;5;4
Greece;2020;15;12;8;4
Greece;2021;12;17;11;7
Hungary;2015;12;8;2;1
Hungary;2016;14;9;3;1
Hungary;2017;13;9;3;1
Hungary;2018;13;11;3;2
Hungary;2019;15;13;5;2
Hungary;2020;22;16;6;5
Hungary;2021;20;21;9;8
Iceland;2015;;;;
Iceland;2016;;;;
Iceland;2017;19;20;10;7
Iceland;2018;16;19;7;17
Iceland;2019;16;17;9;17
Iceland;2020;9;15;12;25
Iceland;2021;9;18;13;29
Ireland;2015;18;17;6;3
Ireland;2016;16;17;6;3
Ireland;2017;15;18;8;4
Ireland;2018;15;19;10;8
Ireland;2019;17;23;11;8
Ireland;2020;17;16;12;12
Ireland;2021;17;24;14;23
Italy;2015;11;5;1;1
Italy;2016;9;6;3;1
Italy;2017;10;8;3;1
Italy;2018;13;8;3;1
Italy;2019;13;8;3;2
Italy;2020;13;9;3;2
Italy;2021;20;12;5;3
Kosovo (under United Nations Security Council Resolution 1244/99);2020;16;15;3;1
Kosovo (under United Nations Security Council Resolution 1244/99);2021;;;;
Latvia;2015;19;6;2;1
Latvia;2016;14;11;4;2
Latvia;2017;16;11;4;2
Latvia;2018;18;11;3;2
Latvia;2019;19;10;3;2
Latvia;2020;19;12;4;4
Latvia;2021;17;17;7;9
Lithuania;2015;11;7;2;1
Lithuania;2016;12;9;2;1
Lithuania;2017;15;10;3;2
Lithuania;2018;16;12;4;2
Lithuania;2019;17;15;4;2
Lithuania;2020;17;15;6;4
Lithuania;2021;17;18;8;8
Luxembourg;2015;16;23;14;10
Luxembourg;2016;13;25;15;15
Luxembourg;2017;13;25;17;14
Luxembourg;2018;15;22;12;11
Luxembourg;2019;15;24;11;12
Luxembourg;2020;19;24;12;14
Luxembourg;2021;22;23;11;13
Malta;2015;15;17;7;6
Malta;2016;16;15;6;5
Malta;2017;14;17;7;6
Malta;2018;13;17;10;7
Malta;2019;14;18;9;8
Malta;2020;13;18;11;12
Malta;2021;9;17;11;20
Montenegro;2020;8;5;1;0
Montenegro;2021;11;4;1;1
Netherlands;2015;25;22;8;4
Netherlands;2016;24;23;10;6
Netherlands;2017;24;26;11;7
Netherlands;2018;21;27;11;10
Netherlands;2019;22;26;12;10
Netherlands;2020;23;27;14;13
Netherlands;2021;20;27;17;20
North Macedonia;2015;5;2;1;0
North Macedonia;2016;5;3;1;1
North Macedonia;2017;7;2;0;0
North Macedonia;2018;13;5;1;1
North Macedonia;2019;14;6;1;1
North Macedonia;2020;16;4;1;1
North Macedonia;2021;19;8;1;1
Norway;2015;24;21;10;5
Norway;2016;25;21;9;6
Norway;2017;18;23;11;9
Norway;2018;22;25;10;7
Norway;2019;24;23;11;9
Norway;2020;19;23;13;14
Norway;2021;23;30;15;13
Poland;2015;11;8;4;1
Poland;2016;13;11;5;1
Poland;2017;14;12;5;2
Poland;2018;14;14;6;3
Poland;2019;16;16;7;3
Poland;2020;15;18;8;5
Poland;2021;15;17;10;6
Portugal;2015;10;8;3;2
Portugal;2016;10;9;3;1
Portugal;2017;11;9;4;2
Portugal;2018;16;8;2;1
Portugal;2019;14;9;2;2
Portugal;2020;11;13;6;5
Portugal;2021;13;15;7;6
Romania;2015;5;2;1;0
Romania;2016;5;2;0;0
Romania;2017;8;3;0;0
Romania;2018;9;4;0;0
Romania;2019;10;4;1;0
Romania;2020;12;8;1;0
Romania;2021;11;9;2;1
Serbia;2015;11;3;1;1
Serbia;2016;;;;
Serbia;2017;12;7;1;1
Serbia;2018;13;6;2;1
Serbia;2019;14;8;3;2
Serbia;2020;15;10;3;1
Serbia;2021;23;11;2;0
Slovakia;2015;16;13;3;2
Slovakia;2016;19;16;4;2
Slovakia;2017;22;17;5;2
Slovakia;2018;17;19;5;3
Slovakia;2019;19;19;6;3
Slovakia;2020;20;16;9;2
Slovakia;2021;31;23;8;7
Slovenia;2015;15;9;3;1
Slovenia;2016;13;11;4;2
Slovenia;2017;16;12;4;2
Slovenia;2018;20;13;4;3
Slovenia;2019;23;15;4;3
Slovenia;2020;26;16;5;4
Slovenia;2021;24;20;7;7
Spain;2015;15;11;4;3
Spain;2016;15;12;4;4
Spain;2017;19;13;4;4
Spain;2018;19;15;5;5
Spain;2019;21;15;6;4
Spain;2020;23;16;7;8
Spain;2021;23;17;7;8
Sweden;2015;15;22;10;8
Sweden;2016;22;23;10;6
Sweden;2017;20;24;11;12
Sweden;2018;18;26;11;8
Sweden;2019;19;27;11;12
Sweden;2020;19;28;13;11
Sweden;2021;20;27;15;15
Switzerland;2015;;;;
Switzerland;2016;;;;
Switzerland;2017;28;26;10;8
Switzerland;2018;;;;
Switzerland;2019;27;27;10;10
Switzerland;2020;;;;
Switzerland;2021;25;24;12;10
Turkey;2015;;;;
Turkey;2016;7;4;1;1
Turkey;2017;;;;
Turkey;2018;;;;
Turkey;2019;11;7;3;2
Turkey;2020;;;;
Turkey;2021;12;10;4;6
United Kingdom;2015;16;20;17;22
United Kingdom;2016;15;21;17;24
United Kingdom;2017;17;23;16;21
United Kingdom;2018;15;18;17;26
United Kingdom;2019;11;21;19;29
United Kingdom;2020;12;25;16;29
United Kingdom;2021;;;;